Name,Date,Tags,Sector,Countries,Country
wilmingtoncc.org,29/8/2024,"Personal Identifications, Planning Documents, Education Certificates",Healthcare,United States,
www.electriforce.com,27/8/2024,"Financial Documents, Customers and Parters Details, Bank Statements, Human Resource Documents, Company Documents, Adminstrators Documents",Service Provider,United States,
ciot.com,29/8/2024,Not Yet Published,Renovation,Canada,
www.nissan-dubai.com,31/8/2024,"Car Ownership Details, Personal Identifications, QC Inspection Documents, Diagnostic Documents",Automotive,United Arab Emirates,
grant-associates.uk.com,30/8/2024,Not Yet Published,Architecture,United Kingdom,
www.lfewines.com,30/8/2024,"Payments Advice, Order Information",Wine,United States,
www.gruyeria.ch,30/8/2024,"Email Exchanges, Project Documents, Adminstrative Documents, Invoices, Contracts",Renovation,Switzerland,
www.fenceauthority.com,30/8/2024,"Insurance Certificates, Installment Payment, Permit Documents, Employee Identifications",Service Provider,United States,
www.johnkellys.com,30/8/2024,"Order Invoices, Letter Of Credit, Export Document, Product Specification Sheet, Finance Documents",Fragrance,United Kingdom,
www.iph-bet.fr,30/8/2024,"Commercial Documents, Email Exchanges",Construction,France,
www.suvacity.org,30/8/2024,"Budget Documents, Email Exchanges, Certificate of Insurance, Personal Identifications",Public Administration,Fiji,
www.primariatm.ro,30/8/2024,"Company contracts, Educational Certifications, Personal Identifications",Public Administration,Romania,
www.mineduc.gob.gt,30/8/2024,"Personal Identification, Operational Data, HR Documents, Planning Documents, Database, Staff Documents, Student Documents, Beneficiaries Document",Education,Guatemala,
www.swinburne.edu,30/8/2024,"Personal Identifications, Quotation Documents, Educational Certifications, Applications, Bank Details, Payment Advices, Finance Documents, Audit Documents",Education,Australia,
www.iiitd.ac.in,30/8/2024,"Resumes, Employee Details, School Examination Syallbus Details, Student Details, Hostel Lodging Documents, Budget Documents, Research Projects, Agreement Contracts, Non-Disclosure Agreements, Confidential Offers Documents",Education,India,
www.ramoncorripio.com,30/8/2024,"Contracts, Payment Advices, Personal Identifications",Distributor,United States,
www.timortelecom.tl,30/8/2024,"Service Agreements, Personal Identifcations, Non-Disclosure Agreements, Debt Information, CEO Documents, Finance Documents",Telecommunications,East Timor,
www.citebd.org,30/8/2024,Not Yet Published,Publishing,France,
glasstile.com,17/8/2024,"Financial Documents, Confidential Documents, Databases",Glass Tiles,United States,
rainierarms.com,26/8/2024,Not Yet Published,Firearms,United States,
www.chwa.com.tw,27/8/2024,Not Yet Published,Publishing,Taiwan,
dpfza.gov.dj,27/8/2024,"Employee Bank Details, Financial Reporting Documents, Payroll Documents",Maritime,Djibouti,
www.spie-tec.de,26/8/2024,"Contracts, Confidential Engine Documents, Bank Transfers Documents",Engineering,Germany,
htsusa.com,26/8/2024,Not Yet Published,Technology,United States,
www.alabamaplate.com,9/7/2024,"Clients Information, Products Information, Accounting Documents, Budget Documents, HR Documents, Personal Documents, Oracle ERP Information",Manufacturing,United States,
prasarana.com.my,25/8/2024,"Staffs Resignations, Budget Documents, Card Access, Product Specifications, Payment Documents, Personal Documents",Transportation,Malaysia,
saudi arabia(general secretariat of the military service council),22/8/2024,Not Yet Published,Military,Saudi Arabia,
www.banhampoultry.co.uk,21/8/2024,Not Yet Published,Poultry,United Kingdom,
blowerdempsay.com,20/8/2024,Not Yet Published,Packaging,United States,
inlighten.net,20/8/2024,Not Yet Published,Digital Media,United States,
ccsdschools.com,18/8/2024,"Budget Documents, Personal Identifications, Beneficiary Reports, Payroll Documents",Education,United States,
imobesidade.com.br,14/8/2024,"Patient Records, Personal Identifications",Healthcare,Brazil,
www.manotherm.ie,17/8/2024,Not Yet Published,Industrial Automation,Ireland,
www.netconfig.co.za,17/8/2024,Not Yet Published,Technology,South Africa,
www.regentcaravans.com.au,17/8/2024,Not Yet Published,Recreational Vehicles,Austrailia,
www.vinakom.com,16/8/2024,Not Yet Published,Telecommunications,United States,
nrcollecties.nl,15/8/2024,Not Yet Published,Jewelry,Netherlands,
www.aaconsultinc.com,15/8/2024,Not Yet Published,Consulting,United States,
ljglaw.com,14/8/2024,Not Yet Published,Legal,United States,
www.atwoodcherny.com,15/8/2024,Client Information,Legal,United States,
www.isnart.it,15/8/2024,Not Yet Published,Tourism,Italy,
police.praca.gov.pl,14/8/2024,Not Yet Published,Law Enforcement,Poland,
bedford.k12.oh.us,12/8/2024,"Budget Documents, Email Exchanges, Financial Documents",Education,United States,
welevelup.com,13/8/2024,"Personal Identification, Patient's Records",Healthcare,United States,
naturalcuriosities.com,11/8/2024,"Private Documents, Databases, Webmails, Source Code",Art,United States,
Jeffersoncountyclerk.org,11/8/2024,"Account Balances, Usernames & Passwords, Clerk Files, Report Documents, Financial Documents, Insurance Documents, Investigation of Employee Documents, Budget Documents, Contracts, 2024 Elections, Board Meeting Minutes",Public Administration,United States,
alliuminteriors.co.nz,9/8/2024,"Private Documents, Databases, Webmails, Source Code",Renovation,New Zealand,
lmgroup.com,14/7/2024,Insurance Information,Printing,Canada,
kempe.com.au,9/8/2024,"Recruitment Documents, Legal Documents, Project Quotations, Employee Numbers, Invoices, Customer Documents, Payrolls, Personal Identification, System Compliance, Emails Exchanges, Purchase Orders, Inventory Documents",Engineering,Australia,
mrhme.org,25/7/2024,Not Yet Published,Healthcare,United States,
golfoy.com,8/8/2024,"Private Documents, Databases, Webmails, Source Code",Retail,India,
pierrediamonds.com.au,6/8/2024,"Private Documents, Databases, Webmails, Source Code",Jewelry,Australia,
inv-dar.com,8/8/2024,Not Yet Published,Financial Services,Kuwait,
rationalenterprise.com,8/8/2024,Not Yet Published,Saas,United States,
modernceramics.com,2/8/2024,"Financial Documents, Employers Lists, Customer Information",Manufacturing,United States,
hudsoncivil.com.au,7/8/2024,Not Yet Published,Construction,Australia,
amplicon.com,7/8/2024,"Confidentiality Agreement, Invoices, Customer Information",Industrial Automation,United Kingdom,
www.sobha.com,6/8/2024,Not Yet Published,Real Estate,India,
retaildatallc.com,2/8/2024,Not Yet Published,Data Analytics,United States,
www.bahia-principe.com,31/7/2024,"Commercial Documents, Incident Reports, Tax Reports, Guest Contracts, Casino Documents, HR Documents, Procurement Documents",Tourism,Dominican Republic,
www.normandydiesel.fr,12/7/2024,"Customer Service Documents, Finance Documents, Logistic & Shipping Documents",Automotive,France,
effinghamschools.com,1/8/2024,Not Yet Published,Education,United States,
mcdowallaffleck.com.au,1/8/2024,"Project Blueprints, Quota Documents, Insurance Documents, Tender and Contract Documents, Client and Partner Information, Personal Identifications",Engneering,Austrailia,
nydj.com,31/7/2024,Not Yet Published,Retail,United States,
wgma.org,31/7/2024,"Contracts, HR Documents, Email Exchanges, Payroll Documents, Project Documents, Access Files, Accounting Documents",Maritime,United States,
verwarmingheyndrickx.be,30/7/2024,"Invoice Documents, Customer Documents",Service Provider,Belgium,
labor-koblenz.de,29/7/2024,Not Yet Published,Healthcare,Germany,
www.castelligroup.com,26/7/2024,"Personal Identifications, Email Exchanges, Financial Documents",F&B,Italy,
www.whittakersystem.com,26/7/2024,"Bank Account Statements, Sales Documents",Service Provider,United States,
